,id,full_name,first_name,last_name,is_active
339,76182,George Blaney,George,Blaney,FALSE
340,76183,Lance Blanks,Lance,Blanks,FALSE
341,76184,Ricky Blanton,Ricky,Blanton,FALSE
342,101154,Andray Blatche,Andray,Blatche,FALSE
343,302,Mookie Blaylock,Mookie,Blaylock,FALSE
344,202339,Eric Bledsoe,Eric,Bledsoe,TRUE
345,76186,Leon Blevins,Leon,Blevins,FALSE
346,76187,John Block,John,Block,FALSE
347,76188,Mike Bloom,Mike,Bloom,FALSE
348,1628417,Jaron Blossomgame,Jaron,Blossomgame,FALSE
349,916,Corie Blount,Corie,Blount,FALSE
350,1548,Mark Blount,Mark,Blount,FALSE
351,203505,Vander Blue,Vander,Blue,FALSE
352,1629129,Trevon Bluiett,Trevon,Bluiett,FALSE
353,76189,Ray Blume,Ray,Blume,FALSE
354,76190,Nelson Bobb,Nelson,Bobb,FALSE
355,2800,Tony Bobbitt,Tony,Bobbitt,FALSE
356,76191,Arlen Bockhorn,Arlen,Bockhorn,FALSE
357,76192,Tom Boerwinkle,Tom,Boerwinkle,FALSE
358,2586,Keith Bogans,Keith,Bogans,FALSE
359,203992,Bogdan Bogdanovic,Bogdan,Bogdanovic,TRUE
360,202711,Bojan Bogdanovic,Bojan,Bogdanovic,TRUE
361,177,Muggsy Bogues,Muggsy,Bogues,FALSE
362,101106,Andrew Bogut,Andrew,Bogut,FALSE
363,1564,Etdrick Bohannon,Etdrick,Bohannon,FALSE
364,1629626,Bol Bol,Bol,Bol,TRUE
365,76195,Manute Bol,Manute,Bol,FALSE
366,1628413,Jonah Bolden,Jonah,Bolden,TRUE
367,76196,Bill Bolger,Bill,Bolger,FALSE
368,1627762,Joel Bolomboy,Joel,Bolomboy,FALSE
369,76197,Doug Bolstorff,Doug,Bolstorff,FALSE
370,76203,George H. Bon Salle,George H.,Bon Salle,FALSE
371,76198,Phil Bond,Phil,Bond,FALSE
372,1603,Walter Bond,Walter,Bond,FALSE
373,1629648,Jordan Bone,Jordan,Bone,TRUE
374,1121,Dexter Boney,Dexter,Boney,FALSE
375,1629067,Isaac Bonga,Isaac,Bonga,TRUE
376,76201,Ron Bonham,Ron,Bonham,FALSE
377,41,Anthony Bonner,Anthony,Bonner,FALSE
378,2588,Matt Bonner,Matt,Bonner,FALSE
379,1626164,Devin Booker,Devin,Booker,TRUE
380,511,Melvin Booker,Melvin,Booker,FALSE
381,202344,Trevor Booker,Trevor,Booker,FALSE
382,200767,Josh Boone,Josh,Boone,FALSE
383,76204,Ron Boone,Ron,Boone,FALSE
384,1916,Calvin Booth,Calvin,Booth,FALSE
385,1522,Keith Booth,Keith,Booth,FALSE
386,76206,Bob Boozer,Bob,Boozer,FALSE
387,2430,Carlos Boozer,Carlos,Boozer,FALSE
388,2414,Curtis Borchardt,Curtis,Borchardt,FALSE
389,76207,Jake Bornheimer,Jake,Bornheimer,FALSE
390,1953,Lazaro Borrell,Lazaro,Borrell,FALSE
391,76209,Costic Borsavage,Costic,Borsavage,FALSE
392,76210,Vince Boryla,Vince,Boryla,FALSE
393,2547,Chris Bosh,Chris,Bosh,FALSE
394,76211,Jim Bostic,Jim,Bostic,FALSE
395,76212,Lawrence Boston,Lawrence,Boston,FALSE
396,76213,Tom Boswell,Tom,Boswell,FALSE
397,1628449,Chris Boucher,Chris,Boucher,TRUE
398,2257,Ruben Boumtje-Boumtje,Ruben,Boumtje-Boumtje,FALSE
399,76214,Don Boven,Don,Boven,FALSE
400,1898,Cal Bowdler,Cal,Bowdler,FALSE
401,1477,Bruce Bowen,Bruce,Bowen,FALSE
402,1763,Ryan Bowen,Ryan,Bowen,FALSE
403,1628968,Brian Bowen II,Brian,Bowen II,TRUE
404,194,Anthony Bowie,Anthony,Bowie,FALSE
405,76217,Sam Bowie,Sam,Bowie,FALSE
406,1085,Ira Bowman,Ira,Bowman,FALSE
407,1629065,Ky Bowman,Ky,Bowman,TRUE
408,76219,Nate Bowman,Nate,Bowman,FALSE
409,671,Donnie Boyce,Donnie,Boyce,FALSE
410,76221,Dennis Boyd,Dennis,Boyd,FALSE
411,76222,Fred Boyd,Fred,Boyd,FALSE
412,76223,Ken Boyd,Ken,Boyd,FALSE
413,1863,Earl Boykins,Earl,Boykins,FALSE
414,76224,Harry Boykoff,Harry,Boykoff,FALSE
415,76225,Winford Boynes,Winford,Boynes,FALSE
416,200841,Cedric Bozeman,Cedric,Bozeman,FALSE
417,76226,Steve Bracey,Steve,Bracey,FALSE
418,202342,Craig Brackins,Craig,Brackins,FALSE
419,76227,Gary Bradds,Gary,Bradds,FALSE
420,76228,Alex Bradley,Alex,Bradley,FALSE
421,76229,Alonzo Bradley,Alonzo,Bradley,FALSE
422,202340,Avery Bradley,Avery,Bradley,TRUE
423,76233,Bill Bradley,Bill,Bradley,FALSE
424,76230,Charles Bradley,Charles,Bradley,FALSE
425,76231,Dudley Bradley,Dudley,Bradley,FALSE
426,76232,Joe Bradley,Joe,Bradley,FALSE
427,2214,Michael Bradley,Michael,Bradley,FALSE
428,762,Shawn Bradley,Shawn,Bradley,FALSE
429,1628396,Tony Bradley,Tony,Bradley,TRUE
430,1361,Mark Bradtke,Mark,Bradtke,FALSE
431,66,Marques Bragg,Marques,Bragg,FALSE
432,1765,Torraye Braggs,Torraye,Braggs,FALSE
433,1920,A.J. Bramlett,A.J.,Bramlett,FALSE
434,76237,Adrian Branch,Adrian,Branch,FALSE
435,1882,Elton Brand,Elton,Brand,FALSE
436,210,Terrell Brandon,Terrell,Brandon,FALSE
437,76238,Bob Brannum,Bob,Brannum,FALSE
438,76239,Brad Branson,Brad,Branson,FALSE
439,76240,Jesse Branson,Jesse,Branson,FALSE
440,1629714,Jarrell Brantley,Jarrell,Brantley,TRUE
441,76241,Jim Brasco,Jim,Brasco,FALSE
442,76242,Mike Bratz,Mike,Bratz,FALSE
443,76243,Carl Braun,Carl,Braun,FALSE
444,1629649,Ignas Brazdeikis,Ignas,Brazdeikis,TRUE
445,160,Tim Breaux,Tim,Breaux,FALSE
446,2452,J.R. Bremer,J.R.,Bremer,FALSE
447,76245,Pete Brennan,Pete,Brennan,FALSE
448,76246,Tom Brennan,Tom,Brennan,FALSE
449,76247,Randy Breuer,Randy,Breuer,FALSE
450,201147,Corey Brewer,Corey,Brewer,FALSE
451,2249,Jamison Brewer,Jamison,Brewer,FALSE
452,76248,Jim Brewer,Jim,Brewer,FALSE
453,76249,Ron Brewer,Ron,Brewer,FALSE
454,200758,Ronnie Brewer,Ronnie,Brewer,FALSE
455,2056,Primoz Brezec,Primoz,Brezec,FALSE
456,76250,Frank Brian,Frank,Brian,FALSE
457,783,Frank Brickowski,Frank,Brickowski,FALSE
458,76252,Junior Bridgeman,Junior,Bridgeman,FALSE
459,76253,Bill Bridges,Bill,Bridges,FALSE
460,1628969,Mikal Bridges,Mikal,Bridges,TRUE
461,1628970,Miles Bridges,Miles,Bridges,TRUE
462,76254,Al Brightman,Al,Brightman,FALSE
463,76255,Audley Brindley,Audley,Brindley,FALSE
464,1628515,Isaiah Briscoe,Isaiah,Briscoe,FALSE
465,76256,John Brisker,John,Brisker,FALSE
466,1629052,Oshae Brissett,Oshae,Brissett,TRUE
467,76257,Allan Bristow,Allan,Bristow,FALSE
468,76258,Tyrone Britt,Tyrone,Britt,FALSE
469,76259,Wayman Britt,Wayman,Britt,FALSE
470,76260,Mike Brittain,Mike,Brittain,FALSE
471,76261,David Britton,David,Britton,FALSE
472,201972,Jon Brockman,Jon,Brockman,FALSE
473,1629151,Ryan Broekhoff,Ryan,Broekhoff,TRUE
474,76262,Jim Brogan,Jim,Brogan,FALSE
475,1627763,Malcolm Brogdon,Malcolm,Brogdon,TRUE
476,76263,Gary Brokaw,Gary,Brokaw,FALSE
477,76264,Price Brookfield,Price,Brookfield,FALSE
478,201166,Aaron Brooks,Aaron,Brooks,FALSE
479,1628415,Dillon Brooks,Dillon,Brooks,TRUE
480,76265,Kevin Brooks,Kevin,Brooks,FALSE
481,202705,MarShon Brooks,MarShon,Brooks,FALSE
482,76266,Michael Brooks,Michael,Brooks,FALSE
483,418,Scott Brooks,Scott,Brooks,FALSE
484,2810,Andre Brown,Andre,Brown,FALSE
485,1626148,Anthony Brown,Anthony,Brown,FALSE
486,76284,Bob Brown,Bob,Brown,FALSE
487,201628,Bobby Brown,Bobby,Brown,FALSE
488,1628971,Bruce Brown,Bruce,Brown,TRUE
489,359,Chucky Brown,Chucky,Brown,FALSE
490,2245,Damone Brown,Damone,Brown,FALSE
491,76270,Darrell Brown,Darrell,Brown,FALSE
492,244,Dee Brown,Dee,Brown,FALSE
493,200793,Dee Brown,Dee,Brown,FALSE
494,201974,Derrick Brown,Derrick,Brown,FALSE
495,2484,Devin Brown,Devin,Brown,FALSE
496,2081,Ernest Brown,Ernest,Brown,FALSE
497,76272,Fred Brown,Fred,Brown,FALSE
498,76273,George Brown,George,Brown,FALSE
